Binomial	BodyMass_g_ind1	BodyMass_g_ind2	BodyMass_g_ind3	BodyMass_g_ind4	BodyMass_g_ind5	BodyMass_g_ind6	BodyMass_g_ind7	BodyMass_g_ind8	BodyMass_g_ind9	BodyMass_g_ind10
Papio_cynocephalus	4.303023169	4.410102077	4.375041442	4.440625754	4.314162272	4.391058669	4.075911761	4.414488672	4.395588464	4.175830604
Papio_hamadryas	4.211280768	3.83518307	3.945665499	4.366180058	3.894924977	4.258589398	3.883093359	4.015150103	3.995240202	4.010554352
Papio_ursinus	4.386409779	4.332519251	4.07081336	4.352085998	3.851441815	4.402330176	4.093736785	4.374693369	4.082749477	4.19529066
Perodicticus_potto	3.140508043	3.121231455	2.431363764	3.106530854	2.630427875	2.921166051	2.710963119	2.399673721	3.11058971	2.88592634
Prolemur_simus	3.422917981	3.296006669	3.398113692	3.520221436	3.180125875	2.737192643	3.121559844	3.267640982	2.888740961	3.125481266
Propithecus_verreauxi	3.673389578	3.344785123	3.753736222	3.541579244	3.759138816	3.760573254	3.746011108	2.975891136	3.717420837	3.177824972
Saguinus_fuscicollis	2.834420704	2.037426498	2.821513528	2.586587305	2.086359831	1.934498451	2.029383778	2.80140371	2.718501689	1.913813852
Saguinus_midas	2.790988475	2.307496038	2.514547753	2.709269961	2.45331834	2.29666519	2.915927212	2.791690649	2.075546961	2.691965103
Saguinus_oedipus	2.505149978	2.580924976	2.152288344	2.655138435	2.629409599	2.696356389	2.828015064	2.785329835	2.835056102	2.598790507
Saimiri_sciureus	2.549003262	3.110252917	2.897627091	3.095518042	2.942504106	3.128722284	2.926342447	3.074450719	2.664641976	2.87909588
Semnopithecus_entellus	4.117403884	4.02263454	3.770115295	4.040720984	4.133027673	4.354415795	3.923606643	4.268273672	4.339610422	3.615634469
Tarsius_bancanus	1.653212514	1.491361694	2.079181246	2.281033367	1.612783857	2.086359831	1.681241237	2.130333768	2.309630167	2.307496038
Symphalangus_syndactylus	3.684665864	3.544440137	4.260834312	3.872447648	4.281169773	4.190387733	4.067405658	3.595165415	4.189040908	4.116209126
Tarsius_syrichta	2.133538908	2.274157849	1.69019608	1.977723605	2.260071388	2.136720567	1.812913357	1.73239376	1.806179974	2.146128036
Alouatta_palliata	3.836640542	3.604550033	3.40654018	3.311329952	3.342817315	3.91944421	3.812712867	3.852235939	3.848065895	3.580012113
Alouatta_pigra	4.059449813	4.062506775	3.823017523	3.821251432	4.000434077	3.344195716	3.282622113	4.045049013	4.085896811	4.094541001
Alouatta_seniculus	4.048830087	4.059828382	3.76305344	3.575187845	3.793511006	3.410270964	4.027797943	3.813314059	3.607455023	3.588047497
Aotus_trivirgatus	3.036628895	2.912753304	3.014100322	2.811575006	3.202760687	2.822821645	3.154728207	3.202488317	2.729974286	3.103119254
Theropithecus_gelada	3.919705535	3.757016235	4.338476415	4.02796086	4.27565681	4.144543074	3.617105231	4.150848507	3.857151503	4.392644202
Trachypithecus_obscurus	3.783546282	3.871339381	3.291590826	4.090116911	3.986144465	3.874307833	3.417471693	3.492201451	3.799340549	4.03614963
