	Species	Diet	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26
Andinomys_edax	Andinomys_edax	2	-0.349018171	-0.098358675	-0.388311497	0.013628955	-0.260937723	-0.044791349	-0.211405719	0.009316827	-0.00388458	0.030437509	0.150459031	0.205616073	0.146210427	0.123236403	0.274585323	0.157527478	0.333830493	0.082313109	0.232296505	-0.023123069	0.317085597	-0.12187853	0.004817882	-0.149988772	-0.245727568	-0.183935958
Auliscomys_boliviensis	Auliscomys_boliviensis	1	-0.348207542	-0.103556752	-0.403567606	-0.007248787	-0.2612366	-0.052678893	-0.214801351	0.005700275	0.007547607	0.033762215	0.164107415	0.182285029	0.172366966	0.138347977	0.288251501	0.155424474	0.338037534	0.097042854	0.202785505	-0.031474757	0.308384037	-0.116123363	-0.009984174	-0.135037162	-0.243683291	-0.16644311
Auliscomys_pictus	Auliscomys_pictus	1	-0.355497729	-0.097152953	-0.399574844	0.002501785	-0.259518999	-0.050895482	-0.215326559	0.001886185	0.010338706	0.042079422	0.147639273	0.183406454	0.145442228	0.12578446	0.275433533	0.155336053	0.335602946	0.079663073	0.232965447	-0.023128135	0.325506845	-0.115439446	-0.001958431	-0.140384764	-0.241052416	-0.16365665
Auliscomys_sublimis	Auliscomys_sublimis	1	-0.366940596	-0.092173977	-0.401974624	0.001884073	-0.256666612	-0.056563103	-0.209726251	0.004425361	0.008457286	0.037909632	0.143350018	0.179133059	0.149676589	0.118499968	0.283142786	0.147919109	0.32929414	0.083566645	0.229144454	-0.017104272	0.32620511	-0.110130035	0.016002642	-0.133861035	-0.249964941	-0.163505425
Blarinomys_breviceps	Blarinomys_breviceps	3	-0.334871139	-0.121125058	-0.413761814	-0.010291146	-0.274564754	-0.05138286	-0.237029013	-0.004147981	0.005556533	0.020534162	0.189331123	0.240133376	0.177732506	0.116189802	0.294353232	0.144070906	0.34873558	0.100416196	0.194422659	-0.038695874	0.267883193	-0.127905849	-0.005291341	-0.115468938	-0.212496765	-0.152326736
Brucepattersonius_iheringi	Brucepattersonius_iheringi	3	-0.349586398	-0.107941983	-0.405048581	-0.008908238	-0.273873928	-0.045345757	-0.238069489	-0.011658668	0.016271214	0.050280067	0.145426615	0.198739569	0.14998679	0.118699896	0.264538695	0.131960822	0.324959284	0.071131129	0.260416712	-0.031915912	0.31521079	-0.116074471	0.034456927	-0.111814882	-0.244688629	-0.137151572
Brucepattersonius_soricinus	Brucepattersonius_soricinus	3	-0.347680995	-0.105146316	-0.410742167	-0.008714539	-0.262125865	-0.048265913	-0.229964471	-0.006949931	-0.030836381	0.020059362	0.170449201	0.192200565	0.158472133	0.102171113	0.289936839	0.136211909	0.336123111	0.095171656	0.250435806	-0.025274749	0.297516767	-0.107259183	0.021864685	-0.100966683	-0.243448662	-0.14323729
Calomys_callosus	Calomys_callosus	2	-0.339855335	-0.115865448	-0.388109244	0.003417568	-0.269411417	-0.03806692	-0.21818091	0.015919214	-0.024814249	0.043222272	0.180130298	0.206597876	0.14344895	0.12110891	0.267078333	0.152127435	0.329297051	0.074813018	0.230266701	-0.027897363	0.323258503	-0.120197287	0.006116937	-0.13899623	-0.239225617	-0.176183045
Calomys_laucha	Calomys_laucha	2	-0.357306855	-0.105965334	-0.400991326	0.008866605	-0.26466558	-0.043230774	-0.209959939	0.009087756	-0.021483172	0.029196848	0.187485324	0.196776881	0.14760333	0.111431515	0.266353952	0.151123184	0.330549331	0.078153679	0.224744078	-0.022347993	0.315363005	-0.102528146	0.024556394	-0.133046706	-0.242248541	-0.177517516
Calomys_lepidus	Calomys_lepidus	2	-0.346511071	-0.107676691	-0.392080053	9.16E-04	-0.265175559	-0.04343665	-0.216637079	0.007518191	-0.013531259	0.039227967	0.153667055	0.196055762	0.149585658	0.130896285	0.2790917	0.152277836	0.325506783	0.07598335	0.235967201	-0.027019564	0.322681857	-0.125273117	0.012113555	-0.131952914	-0.244678788	-0.167515997
Calomys_musculinus	Calomys_musculinus	2	-0.347817628	-0.116384406	-0.402445049	0.00456937	-0.26267303	-0.043554297	-0.209573376	0.009876552	-0.018829626	0.037974481	0.19940759	0.211436636	0.145351384	0.11453115	0.269396063	0.153535589	0.327300695	0.072871619	0.218648376	-0.02838812	0.314785605	-0.10826721	0.004454407	-0.131121456	-0.238005412	-0.177079908
Calomys_sorellus	Calomys_sorellus	2	-0.351243515	-0.11447533	-0.395335847	0.003073952	-0.266364404	-0.041309791	-0.209031996	0.018868233	-0.016855164	0.03815584	0.155993501	0.194972393	0.146063372	0.115484138	0.279832317	0.152396246	0.340457936	0.084461377	0.227358909	-0.030052822	0.315352223	-0.1178681	0.012674469	-0.131373026	-0.238901802	-0.172333111
Calomys_venustus	Calomys_venustus	2	-0.336237208	-0.123575466	-0.391906461	1.39E-04	-0.277747941	-0.038654069	-0.220318706	0.020030222	-0.012858862	0.046892286	0.186860841	0.200016088	0.141440695	0.12616848	0.27306262	0.152985599	0.333330023	0.079873463	0.21724128	-0.03860895	0.308591707	-0.116620398	0.023392768	-0.132235982	-0.244850755	-0.176410277
Cerradomys_langguthi	Cerradomys_langguthi	1	-0.334166391	-0.115789691	-0.392500802	0.015319173	-0.260628092	-0.030742792	-0.213923456	0.016032464	-0.029081527	0.037339475	0.130101165	0.17850971	0.134736309	0.123107298	0.273331617	0.160634835	0.34705443	0.08663298	0.270992899	-0.030737221	0.315620832	-0.125829503	-8.06E-04	-0.142909949	-0.240731313	-0.171566779
Cerradomys_maracajuensis	Cerradomys_maracajuensis	1	-0.328231818	-0.116101234	-0.395382159	0.015709558	-0.264456961	-0.031611002	-0.218346699	0.023247504	-0.018385823	0.041286965	0.129216525	0.165590767	0.12619737	0.114392636	0.267420854	0.157909751	0.350242698	0.089864796	0.274035017	-0.028507151	0.332293554	-0.120567167	-0.017219535	-0.140956566	-0.237383022	-0.170258857
Cerradomys_scotti	Cerradomys_scotti	1	-0.334329141	-0.120350609	-0.386974802	0.005973617	-0.263727112	-0.029923966	-0.215368543	0.021579343	-0.03262762	0.040807573	0.153796787	0.190089857	0.137477031	0.120680026	0.261348399	0.150952385	0.336430258	0.081407444	0.26739814	-0.024181956	0.322115796	-0.125495515	0.003183186	-0.142113868	-0.24872238	-0.169424331
Chelemys_megalonyx	Chelemys_megalonyx	1	-0.341149419	-0.106974093	-0.41124896	-0.009194343	-0.265017637	-0.04095272	-0.214701471	-0.002794018	-0.028392228	0.034193956	0.173860731	0.202213603	0.135824401	0.108863636	0.284169751	0.141765446	0.346719787	0.094140118	0.244680737	-0.033653231	0.295260354	-0.113939776	0.017868128	-0.12562269	-0.237874173	-0.148045887
Chilomys_instans	Chilomys_instans	3	-0.325748844	-0.114100695	-0.418817338	-0.009391724	-0.24783072	-0.029977606	-0.20835547	0.018062444	-0.023422168	0.037113531	0.115760177	0.167906117	0.095816806	0.098775453	0.302018623	0.162737595	0.382167816	0.09819893	0.262768453	-0.043699004	0.307686962	-0.123246293	0.004362787	-0.118642937	-0.246407082	-0.143735809
Delomys_dorsalis	Delomys_dorsalis	1	-0.334969977	-0.112038536	-0.40227108	0.00885792	-0.252906286	-0.038435212	-0.21721649	0.0208398	-0.022645343	0.040319853	0.135103429	0.183976406	0.120701019	0.108026586	0.273364938	0.148975858	0.346035957	0.085029064	0.27271801	-0.040723444	0.326154266	-0.109087321	0.001714543	-0.133392449	-0.245782984	-0.162348527
Delomys_sublineatus	Delomys_sublineatus	1	-0.331249903	-0.119973401	-0.397143668	0.011129661	-0.259135916	-0.033265288	-0.216829548	0.024870627	-0.029639179	0.045707392	0.135504754	0.181808804	0.127151031	0.108405882	0.27179391	0.148223933	0.342014562	0.081334722	0.269606759	-0.020986099	0.332586262	-0.124069432	-0.003689474	-0.135580846	-0.240969589	-0.167605956
Deltamys_kempi	Deltamys_kempi	1	-0.349260932	-0.108269226	-0.422828144	-0.001754517	-0.265218093	-0.040533704	-0.224512102	0.004605627	-9.69E-04	0.047109906	0.152304577	0.183589246	0.121399824	0.106576029	0.257404712	0.128194874	0.326890455	0.0680417	0.257982636	-0.028800674	0.341659465	-0.108375337	0.046476758	-0.107139716	-0.24133018	-0.143244209
Eligmodontia_morgani	Eligmodontia_morgani	1	-0.343088087	-0.114167156	-0.396658094	0.005811979	-0.265128912	-0.040425514	-0.21123702	0.01714786	-0.018475667	0.033219705	0.155060048	0.178082664	0.154413269	0.125734202	0.286378139	0.152047852	0.347094325	0.083078649	0.225998127	-0.021707335	0.312713077	-0.104061385	-0.001894687	-0.139902707	-0.245174519	-0.174858814
Eremoryzomys_polius	Eremoryzomys_polius	1	-0.334429528	-0.114365742	-0.397196482	0.014275458	-0.260439852	-0.034038077	-0.218548629	0.018860945	-0.018093125	0.038540304	0.142550087	0.180951952	0.131272312	0.116015443	0.261505723	0.148465679	0.338929148	0.073326996	0.273060956	-0.028394047	0.327132448	-0.104226435	0.007394366	-0.138516664	-0.253137423	-0.170895813
Euneomys_chinchilloides	Euneomys_chinchilloides	2	-0.355906305	-0.09644745	-0.381889745	0.013212733	-0.269955056	-0.040567829	-0.216441077	0.018680833	0.006080789	0.021182932	0.145739934	0.183167891	0.142052903	0.125089126	0.27545891	0.162024829	0.332492214	0.094784754	0.227090298	-0.015985523	0.327459864	-0.124529898	0.008088259	-0.162052257	-0.240270988	-0.178560142
Euryoryzomys_macconnelli	Euryoryzomys_macconnelli	2	-0.337424619	-0.108154967	-0.398268091	0.012967461	-0.251354367	-0.031009459	-0.215500041	0.013641843	-0.015633041	0.042010694	0.090609045	0.145922202	0.114861226	0.114963153	0.274697667	0.152542334	0.358528645	0.089451922	0.292008639	-0.033552309	0.345282723	-0.113839013	-0.005148991	-0.132312419	-0.252658793	-0.152631442
Euryoryzomys_nitidus	Euryoryzomys_nitidus	2	-0.331051242	-0.116691129	-0.389895084	0.018627873	-0.26255247	-0.027801902	-0.220652034	0.028286162	-0.029520001	0.043135758	0.120294683	0.174347138	0.126879322	0.125578931	0.258182076	0.151139806	0.35391184	0.085406792	0.284324216	-0.031665026	0.324618852	-0.125686011	-0.001528401	-0.149789486	-0.233011758	-0.174888906
Euryoryzomys_russatus	Euryoryzomys_russatus	2	-0.335122542	-0.108190561	-0.379502819	0.021492817	-0.262368786	-0.026887482	-0.216264793	0.024261034	-0.047053211	0.03337306	0.125137697	0.183027342	0.13093661	0.126886111	0.257591534	0.154261148	0.343718464	0.096496669	0.280409918	-0.024603238	0.331810305	-0.146725955	0.001109458	-0.152735482	-0.230401835	-0.180655464
Galenomys_garleppi	Galenomys_garleppi	2	-0.367420778	-0.097872457	-0.412029086	-0.007592448	-0.254088062	-0.048573685	-0.204987483	0.021539627	-5.55E-04	0.048230049	0.135778415	0.162853688	0.13072839	0.113012126	0.273790279	0.157634158	0.344966105	0.079354435	0.24540725	-0.033494285	0.321417906	-0.112242874	0.029833552	-0.119072006	-0.242841223	-0.16377633
Geoxus_valdivianus	Geoxus_valdivianus	1	-0.345777257	-0.108999813	-0.412342995	-0.017618814	-0.26075182	-0.045355367	-0.210498402	-0.009123625	-0.042522185	0.015247985	0.200346009	0.181073152	0.157880002	0.12323904	0.287413758	0.148384793	0.341473292	0.1010021	0.233840045	-0.028515087	0.296974066	-0.108291899	-0.002290319	-0.110761183	-0.243744193	-0.140281282
Graomys_domorum	Graomys_domorum	2	-0.332869334	-0.119350121	-0.397278042	0.010429706	-0.268093285	-0.032536529	-0.220284449	0.010431173	-0.00688714	0.046295585	0.152956916	0.176910661	0.144639941	0.134066998	0.289344076	0.16810899	0.348422984	0.098405578	0.211450357	-0.044797316	0.311615576	-0.126119161	-0.003119412	-0.144136047	-0.229898188	-0.177709516
